modello,indice,test,categoria,origine,messaggio
1b,0,test_is_degree_in_degree_range_1,NameError,test,name 'is_degree_in_degree_range' is not defined
1b,0,test_is_degree_in_degree_range_2,NameError,test,name 'is_degree_in_degree_range' is not defined
1b,0,test_is_degree_in_degree_range_3,NameError,test,name 'is_degree_in_degree_range' is not defined
1b,0,test_is_degree_in_degree_range_4,NameError,test,name 'is_degree_in_degree_range' is not defined
1b,0,test_is_degree_in_degree_range_5,NameError,test,name 'is_degree_in_degree_range' is not defined
1b,0,test_is_degree_in_degree_range_6,NameError,test,name 'is_degree_in_degree_range' is not defined
1b,0,test_is_degree_in_degree_range_7,NameError,test,name 'is_degree_in_degree_range' is not defined
1b,2,test_fix_labels_1,NameError,test,name 'fix_labels' is not defined
1b,2,test_fix_labels_2,NameError,test,name 'fix_labels' is not defined
1b,2,test_fix_labels_3,NameError,test,name 'fix_labels' is not defined
1b,2,test_fix_labels_4,NameError,test,name 'fix_labels' is not defined
1b,2,test_fix_labels_5,NameError,test,name 'fix_labels' is not defined
1b,2,test_fix_labels_6[4],IndexError,test,list index out of range
1b,2,test_fix_labels_6[5],IndexError,test,list index out of range
1b,3,test_x0x1_after_extraction_1,NameError,test,name 'x0x1_after_extraction' is not defined
1b,3,test_x0x1_after_extraction_2,NameError,test,name 'x0x1_after_extraction' is not defined
1b,3,test_x0x1_after_extraction_3,NameError,test,name 'x0x1_after_extraction' is not defined
1b,3,test_x0x1_after_extraction_4,NameError,test,name 'x0x1_after_extraction' is not defined
1b,3,test_x0x1_after_extraction_5,NameError,test,name 'x0x1_after_extraction' is not defined
1b,3,test_x0x1_after_extraction_6,NameError,test,name 'x0x1_after_extraction' is not defined
1b,3,test_x0x1_after_extraction_7,NameError,test,name 'x0x1_after_extraction' is not defined
1b,4,test__remove_strings_1,NameError,test,name '_remove_strings' is not defined
1b,4,test__remove_strings_2,NameError,test,name '_remove_strings' is not defined
1b,4,test__remove_strings_3,NameError,test,name '_remove_strings' is not defined
1b,4,test__remove_strings_4,NameError,test,name '_remove_strings' is not defined
1b,4,test__remove_strings_5,NameError,test,name '_remove_strings' is not defined
1b,4,test__remove_strings_6,NameError,test,name '_remove_strings' is not defined
1b,4,test__remove_strings_7,NameError,test,name '_remove_strings' is not defined
1b,4,test__remove_strings_8,NameError,test,name '_remove_strings' is not defined
1b,5,test_can_blas_1,NameError,test,name 'can_blas' is not defined
1b,5,test_can_blas_2,NameError,test,name 'can_blas' is not defined
1b,5,test_can_blas_3,NameError,test,name 'can_blas' is not defined
1b,5,test_can_blas_4,NameError,test,name 'can_blas' is not defined
1b,5,test_can_blas_5,NameError,test,name 'can_blas' is not defined
1b,5,test_can_blas_6,NameError,test,name 'can_blas' is not defined
1b,5,test_can_blas_7,NameError,test,name 'can_blas' is not defined
1b,5,test_can_blas_8,NameError,test,name 'can_blas' is not defined
1b,6,test_deg2HMS_1,AssertionError,test,"assert ('0 0 0.0', '-90 0 0') == '00:00 -90'"
1b,6,test_deg2HMS_2,AssertionError,test,"assert ('0 48 0.0', '30 0 0') == '12:30 0'"
1b,6,test_deg2HMS_3,AssertionError,test,"assert ('1 34 0.0', '45 0 0') == '23:45 45'"
1b,6,test_deg2HMS_4,AssertionError,test,"assert ('-0 40 0.0', '60 0 0') == '-10:00 60'"
1b,6,test_deg2HMS_5,AssertionError,test,"assert ('0 0 0', '-90 0 0') == '00:00 -90'"
1b,6,test_deg2HMS_6,AssertionError,test,"assert ('0 48 0.0', '30 0 0') == '12:30 0'"
1b,7,test_single_defcom_extract_1,NameError,test,name 'single_defcom_extract' is not defined
1b,7,test_single_defcom_extract_2,NameError,test,name 'single_defcom_extract' is not defined
1b,7,test_single_defcom_extract_3,NameError,test,name 'single_defcom_extract' is not defined
1b,7,test_single_defcom_extract_4,NameError,test,name 'single_defcom_extract' is not defined
1b,7,test_single_defcom_extract_5,NameError,test,name 'single_defcom_extract' is not defined
1b,7,test_single_defcom_extract_6,NameError,test,name 'single_defcom_extract' is not defined
1b,7,test_single_defcom_extract_7,NameError,test,name 'single_defcom_extract' is not defined
1b,7,test_single_defcom_extract_8,NameError,test,name 'single_defcom_extract' is not defined
1b,8,test_get_allen_relation_1,NameError,test,name 'get_allen_relation' is not defined
1b,8,test_get_allen_relation_2,NameError,test,name 'get_allen_relation' is not defined
1b,8,test_get_allen_relation_3,NameError,test,name 'get_allen_relation' is not defined
1b,8,test_get_allen_relation_4,NameError,test,name 'get_allen_relation' is not defined
1b,8,test_get_allen_relation_5,NameError,test,name 'get_allen_relation' is not defined
1b,8,test_get_allen_relation_6,NameError,test,name 'get_allen_relation' is not defined
1b,8,test_get_allen_relation_7,NameError,test,name 'get_allen_relation' is not defined
1b,8,test_get_allen_relation_8,NameError,test,name 'get_allen_relation' is not defined
1b,9,test_point_box_relation_1,NameError,test,name 'point_box_relation' is not defined
1b,9,test_point_box_relation_2,NameError,test,name 'point_box_relation' is not defined
1b,9,test_point_box_relation_3,NameError,test,name 'point_box_relation' is not defined
1b,9,test_point_box_relation_4,NameError,test,name 'point_box_relation' is not defined
1b,9,test_point_box_relation_5,NameError,test,name 'point_box_relation' is not defined
1b,9,test_point_box_relation_6,NameError,test,name 'point_box_relation' is not defined
