modello,indice,func_name,finish_reason,secondi
8b,0,is_degree_in_degree_range,stop,28.8
8b,1,BinaryFromFraction,stop,78.6
8b,2,fix_labels,stop,78.4
8b,3,x0x1_after_extraction,stop,48.9
8b,4,_remove_strings,stop,40.8
8b,5,can_blas,stop,68.2
8b,6,deg2HMS,stop,55.3
8b,7,single_defcom_extract,stop,69.4
8b,8,get_allen_relation,stop,50.1
8b,9,point_box_relation,stop,65.1
8b,10,uoc_railfence_encrypt,stop,72.8
8b,11,create_three_random_v_indices,stop,108.1
8b,12,diffsents,stop,59.1
8b,13,replacement_template,stop,55.9
8b,14,needleman_wunsch0,stop,87.3
8b,15,knapsack_indv,stop,94.3
8b,16,next_holiday,stop,120.9
8b,17,calc_query_pos_from_cigar,stop,72.9
8b,18,get_processor_types_from_config_class,stop,75.9
8b,19,maximal_matching_pairs,stop,75.8
8b,20,lflverify,stop,63.4
8b,21,longestNonWildcardSubsequence,stop,92.7
8b,22,windows_k_distinct,stop,68.2
8b,23,string_contrast,stop,60.3
8b,24,max_rewards,stop,57.1
8b,25,circle_line_segment_intersection,stop,80.4
8b,26,initiate_board,stop,55.4
8b,27,move_gain,stop,152.3
8b,28,time_in_swiss_german,stop,63.3
8b,29,columnTransCipher,stop,95.3
8b,30,compute_convolution_output_dimensions,stop,62.7
8b,31,get_trackletpair_t_range,stop,180.1
8b,32,get_bw_weight,stop,115.3
8b,33,coordinate_sorter,stop,58.9
8b,34,get_past_goal_indices,stop,77.7
8b,35,_normalized_vcf,stop,74.1
8b,36,categorizeSentimentcomplex,stop,64.5
8b,37,uniformate2,stop,85.5
8b,38,wordparamcheck,stop,92.9
8b,39,splitIA2Attribs,stop,101.0
8b,40,decode_address_entry,stop,112.5
8b,41,make_similar,stop,53.5
8b,42,generateResultTree,length,185.5
8b,43,identify_distance_type,stop,82.1
8b,46,common_conv2d_pool_output_shape,stop,156.9
8b,47,featurize_finance,stop,76.8
8b,48,tmux_format,stop,66.2
8b,49,next_point_in_8_neigh,stop,73.0
8b,50,cal_overlap_neg_strand,stop,56.3
8b,51,find_repeat,stop,89.2
8b,52,get_next_queen_recursion_coordinates,stop,113.9
8b,53,calc_num_weights3,stop,56.8
8b,54,get_intersect_point,stop,103.5
8b,55,check_dead_corner,stop,69.3
8b,56,formatTime,stop,52.9
8b,57,fileNamer,stop,70.9
8b,58,detect_side,stop,91.0
3b,0,is_degree_in_degree_range,stop,34.3
3b,1,BinaryFromFraction,stop,33.8
3b,2,fix_labels,stop,28.9
3b,3,x0x1_after_extraction,stop,32.3
3b,4,_remove_strings,stop,28.6
3b,5,can_blas,stop,56.7
3b,6,deg2HMS,stop,32.4
3b,7,single_defcom_extract,stop,35.1
3b,8,get_allen_relation,stop,29.0
3b,9,point_box_relation,stop,34.0
3b,10,uoc_railfence_encrypt,stop,49.0
3b,11,create_three_random_v_indices,stop,40.2
3b,12,diffsents,stop,28.1
3b,13,replacement_template,stop,33.8
3b,14,needleman_wunsch0,stop,47.4
3b,15,knapsack_indv,stop,41.6
3b,16,next_holiday,stop,56.0
3b,17,calc_query_pos_from_cigar,stop,30.1
3b,18,get_processor_types_from_config_class,stop,35.7
3b,19,maximal_matching_pairs,stop,32.8
3b,20,lflverify,stop,26.9
3b,21,longestNonWildcardSubsequence,stop,37.2
3b,22,windows_k_distinct,stop,29.4
3b,23,string_contrast,stop,23.8
3b,24,max_rewards,stop,29.0
3b,25,circle_line_segment_intersection,stop,43.7
3b,26,initiate_board,stop,25.1
3b,27,move_gain,stop,39.8
3b,28,time_in_swiss_german,stop,34.1
3b,29,columnTransCipher,stop,25.7
3b,30,compute_convolution_output_dimensions,stop,31.9
