modello,indice,func_name,esito,n_test,passati,falliti,errori,cov_righe,cov_rami,cov_righe_ok,cov_rami_ok,dup_tutti,dup_passati
1b,0,is_degree_in_degree_range,fallito,7,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,1,BinaryFromFraction,timeout,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,2,fix_labels,fallito,11,4,7,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,3,x0x1_after_extraction,fallito,7,0,7,0,0.0,0.0,0.0,0.0,6.2,0.0
1b,4,_remove_strings,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,5,can_blas,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,6,deg2HMS,fallito,6,0,6,0,95.7,78.6,0.0,0.0,0.0,0.0
1b,7,single_defcom_extract,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,8,get_allen_relation,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,9,point_box_relation,fallito,7,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,10,uoc_railfence_encrypt,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,37.5,0.0
1b,11,create_three_random_v_indices,fallito,7,0,7,0,100.0,66.7,0.0,0.0,0.0,0.0
1b,12,diffsents,fallito,6,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,13,replacement_template,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,14,needleman_wunsch0,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,54.3,0.0
1b,15,knapsack_indv,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,16,next_holiday,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,17,calc_query_pos_from_cigar,fallito,8,0,8,0,0.0,0.0,0.0,0.0,20.6,0.0
1b,18,get_processor_types_from_config_class,fallito,18,9,9,0,83.3,58.3,70.8,25.0,33.3,50.0
1b,19,maximal_matching_pairs,fallito,8,0,8,0,0.0,0.0,0.0,0.0,24.0,0.0
1b,20,lflverify,fallito,7,5,2,0,88.2,50.0,88.2,50.0,0.0,0.0
1b,21,longestNonWildcardSubsequence,fallito,9,0,9,0,0.0,0.0,0.0,0.0,51.8,0.0
1b,22,windows_k_distinct,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,23,string_contrast,fallito,7,0,7,0,0.0,0.0,0.0,0.0,10.5,0.0
1b,24,max_rewards,fallito,8,0,8,0,0.0,0.0,0.0,0.0,6.9,0.0
1b,25,circle_line_segment_intersection,fallito,8,0,8,0,75.0,50.0,0.0,0.0,0.0,0.0
1b,26,initiate_board,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,27,move_gain,fallito,7,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,28,time_in_swiss_german,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,29,columnTransCipher,fallito,8,0,8,0,11.8,0.0,0.0,0.0,31.8,0.0
1b,30,compute_convolution_output_dimensions,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,16.3,0.0
1b,31,get_trackletpair_t_range,fallito,8,0,8,0,0.0,0.0,0.0,0.0,28.0,0.0
1b,32,get_bw_weight,fallito,8,0,8,0,0.0,0.0,0.0,0.0,8.8,0.0
1b,33,coordinate_sorter,fallito,7,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,34,get_past_goal_indices,fallito,8,2,6,0,90.0,71.4,75.0,50.0,5.0,0.0
1b,35,_normalized_vcf,fallito,8,0,8,0,0.0,0.0,0.0,0.0,15.0,0.0
1b,36,categorizeSentimentcomplex,fallito,8,0,8,0,69.2,64.7,0.0,0.0,34.1,0.0
1b,37,uniformate2,fallito,39,0,39,0,25.4,20.6,0.0,0.0,50.0,0.0
1b,38,wordparamcheck,fallito,8,0,8,0,0.0,0.0,0.0,0.0,64.2,0.0
1b,39,splitIA2Attribs,fallito,8,0,8,0,0.0,0.0,0.0,0.0,39.4,0.0
1b,40,decode_address_entry,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,41,make_similar,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,42,generateResultTree,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,43,identify_distance_type,fallito,8,0,8,0,29.8,28.9,0.0,0.0,73.8,0.0
1b,44,score_calculation_base,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,45,min_edit_script,fallito,8,0,8,0,0.0,0.0,0.0,0.0,5.9,0.0
1b,46,common_conv2d_pool_output_shape,fallito,8,0,8,0,16.7,8.3,0.0,0.0,59.0,0.0
1b,47,featurize_finance,fallito,7,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,48,tmux_format,fallito,5,0,5,0,0.0,0.0,0.0,0.0,8.9,0.0
1b,49,next_point_in_8_neigh,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,50,cal_overlap_neg_strand,fallito,16,0,16,0,0.0,0.0,0.0,0.0,63.4,0.0
1b,51,find_repeat,fallito,8,0,8,0,0.0,0.0,0.0,0.0,13.0,0.0
1b,52,get_next_queen_recursion_coordinates,fallito,8,0,8,0,0.0,0.0,0.0,0.0,28.4,0.0
1b,53,calc_num_weights3,fallito,8,0,8,0,0.0,0.0,0.0,0.0,23.5,0.0
1b,54,get_intersect_point,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,55,check_dead_corner,fallito,6,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,56,formatTime,fallito,6,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,57,fileNamer,fallito,8,3,5,0,73.9,64.3,65.2,50.0,0.0,0.0
1b,58,detect_side,fallito,8,0,8,0,0.0,0.0,0.0,0.0,11.8,0.0
1b,59,circle_line_intersection,fallito,8,0,8,0,93.8,83.3,0.0,0.0,0.0,0.0
1b,60,fire_gun,fallito,8,0,8,0,0.0,0.0,0.0,0.0,56.5,0.0
