modello,indice,func_name,esito,n_test,passati,falliti,errori,cov_righe,cov_rami,dup_tutti,dup_passati
3b,0,is_degree_in_degree_range,fallito,7,6,1,0,100.0,91.7,0.0,0.0
3b,1,BinaryFromFraction,timeout,0,0,0,0,0.0,0.0,0.0,0.0
3b,2,fix_labels,passato,8,8,0,0,87.0,86.4,0.0,0.0
3b,3,x0x1_after_extraction,fallito,7,0,7,0,88.2,83.3,0.0,0.0
3b,4,_remove_strings,fallito,7,0,7,0,100.0,87.5,0.0,0.0
3b,5,can_blas,fallito,7,6,1,0,18.8,16.7,0.0,0.0
3b,6,deg2HMS,fallito,7,1,6,0,95.7,92.9,0.0,0.0
3b,7,single_defcom_extract,fallito,7,3,4,0,42.3,27.8,0.0,0.0
3b,8,get_allen_relation,fallito,7,2,5,0,44.8,34.6,0.0,0.0
3b,9,point_box_relation,fallito,7,3,4,0,47.8,33.3,0.0,0.0
3b,10,uoc_railfence_encrypt,fallito,7,0,7,0,19.2,0.0,30.6,0.0
3b,11,create_three_random_v_indices,fallito,7,3,4,0,100.0,100.0,0.0,0.0
3b,12,diffsents,fallito,7,1,6,0,100.0,100.0,0.0,0.0
3b,13,replacement_template,fallito,7,2,5,0,65.8,60.0,0.0,0.0
3b,14,needleman_wunsch0,fallito,7,0,7,0,100.0,100.0,16.1,0.0
3b,15,knapsack_indv,fallito,7,1,6,0,100.0,92.9,0.0,0.0
3b,16,next_holiday,fallito,7,0,7,0,44.5,45.5,0.0,0.0
3b,17,calc_query_pos_from_cigar,fallito,7,1,6,0,100.0,90.0,0.0,0.0
3b,18,get_processor_types_from_config_class,fallito,7,2,5,0,83.3,58.3,0.0,0.0
3b,19,maximal_matching_pairs,fallito,7,0,7,0,66.7,41.7,0.0,0.0
3b,20,lflverify,fallito,7,3,4,0,94.1,100.0,10.5,22.2
3b,21,longestNonWildcardSubsequence,fallito,7,0,7,0,95.7,90.0,27.6,0.0
3b,22,windows_k_distinct,fallito,7,3,4,0,100.0,100.0,0.0,0.0
3b,23,string_contrast,fallito,7,0,7,0,100.0,100.0,0.0,0.0
3b,24,max_rewards,fallito,7,1,6,0,16.7,11.5,0.0,0.0
3b,25,circle_line_segment_intersection,fallito,7,2,5,0,87.5,66.7,0.0,0.0
3b,26,initiate_board,fallito,7,4,3,0,100.0,100.0,7.4,10.0
3b,27,move_gain,fallito,7,0,7,0,20.8,0.0,0.0,0.0
3b,28,time_in_swiss_german,fallito,7,1,6,0,77.8,71.4,0.0,0.0
3b,29,columnTransCipher,fallito,8,1,7,0,94.1,92.9,0.0,0.0
3b,30,compute_convolution_output_dimensions,fallito,7,0,7,0,100.0,100.0,0.0,0.0
3b,31,get_trackletpair_t_range,fallito,7,0,7,0,52.9,33.3,11.8,0.0
3b,32,get_bw_weight,fallito,7,0,7,0,28.6,11.8,19.4,0.0
3b,33,coordinate_sorter,fallito,7,1,6,0,70.0,50.0,0.0,0.0
3b,34,get_past_goal_indices,fallito,7,1,6,0,80.0,64.3,0.0,0.0
3b,35,_normalized_vcf,fallito,7,0,7,0,47.1,50.0,10.5,0.0
3b,36,categorizeSentimentcomplex,fallito,7,2,5,0,66.7,61.8,0.0,0.0
3b,37,uniformate2,fallito,7,3,4,0,25.4,20.6,0.0,0.0
3b,38,wordparamcheck,fallito,7,0,7,0,38.1,22.7,6.7,0.0
3b,39,splitIA2Attribs,fallito,8,0,8,0,69.8,50.0,0.0,0.0
3b,40,decode_address_entry,fallito,8,0,8,0,62.1,50.0,35.3,0.0
3b,41,make_similar,fallito,7,1,6,0,100.0,0.0,5.9,0.0
3b,42,generateResultTree,fallito,8,0,8,0,40.0,15.0,5.9,0.0
3b,43,identify_distance_type,fallito,7,1,6,0,31.0,52.6,0.0,0.0
3b,44,score_calculation_base,fallito,7,3,4,0,54.1,60.0,0.0,0.0
3b,45,min_edit_script,fallito,8,0,8,0,92.3,91.7,0.0,0.0
3b,46,common_conv2d_pool_output_shape,fallito,7,0,7,0,83.3,66.7,0.0,0.0
3b,47,featurize_finance,fallito,7,0,7,0,73.3,65.0,0.0,0.0
3b,48,tmux_format,fallito,7,0,7,0,100.0,91.7,0.0,0.0
3b,49,next_point_in_8_neigh,fallito,8,0,8,0,70.6,68.8,0.0,0.0
3b,50,cal_overlap_neg_strand,fallito,7,0,7,0,70.0,41.7,0.0,0.0
3b,51,find_repeat,fallito,7,5,2,0,65.4,57.1,0.0,0.0
3b,52,get_next_queen_recursion_coordinates,fallito,8,0,8,0,9.4,0.0,17.6,0.0
3b,53,calc_num_weights3,fallito,7,0,7,0,81.8,70.0,0.0,0.0
3b,54,get_intersect_point,fallito,7,0,7,0,4.8,0.0,0.0,0.0
3b,55,check_dead_corner,fallito,7,3,4,0,86.2,66.7,0.0,0.0
3b,56,formatTime,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0
3b,57,fileNamer,fallito,7,0,7,0,73.9,64.3,0.0,0.0
3b,58,detect_side,fallito,7,5,2,0,82.4,75.0,0.0,0.0
3b,59,circle_line_intersection,fallito,7,0,7,0,87.5,66.7,0.0,0.0
3b,60,fire_gun,fallito,8,1,7,0,81.8,75.0,0.0,0.0
3b,61,rollDie,fallito,7,0,7,0,31.2,0.0,5.0,0.0
3b,62,idx_for_diag_se_from_tr,fallito,7,0,7,0,73.7,76.9,0.0,0.0
3b,63,idx_for_diag_se_from_bl,fallito,7,0,7,0,52.6,50.0,0.0,0.0
3b,64,remove_chars,fallito,7,2,5,0,94.1,83.3,0.0,0.0
3b,65,cigar_prefix_length,fallito,7,0,7,0,20.0,0.0,5.9,0.0
3b,66,get_segment_directions,fallito,7,0,7,0,100.0,94.4,0.0,0.0
3b,67,max2GetIdx,fallito,7,0,7,0,82.8,66.7,23.3,0.0
3b,68,getYAxisMinMaxGC,fallito,7,0,7,0,74.3,65.4,0.0,0.0
3b,69,calculate_possibility,fallito,7,2,5,0,26.1,22.7,0.0,0.0
3b,70,iterative_levenshtein,fallito,6,0,6,0,100.0,100.0,0.0,0.0
3b,71,centre_on_peak,fallito,7,4,3,0,92.9,81.2,0.0,0.0
3b,72,locate_alignment,fallito,8,0,8,0,77.8,75.0,5.9,0.0
3b,73,smooth_param,fallito,7,0,7,0,95.6,72.7,0.0,0.0
3b,74,look_up_latest_epoch,fallito,7,1,6,0,38.5,37.5,13.6,0.0
3b,75,find_adjacent_product,fallito,7,3,4,0,100.0,100.0,0.0,0.0
3b,76,convert_location_to_pitch,fallito,7,0,7,0,85.7,72.7,0.0,0.0
3b,77,oracle2numpy,fallito,7,0,7,0,27.3,0.0,0.0,0.0
3b,78,turn_sequence,fallito,7,1,6,0,70.4,60.0,0.0,0.0
3b,79,count_leading_digits_var2,fallito,7,0,7,0,13.0,0.0,0.0,0.0
3b,80,calculate_circular_pile_set_positions,fallito,7,1,6,0,65.7,40.9,6.2,0.0
3b,81,maximal_mesh_pattern_of_occurrence,fallito,7,1,6,0,100.0,100.0,0.0,0.0
3b,82,process_lines_for_spell,fallito,7,0,7,0,94.9,68.8,15.0,0.0
3b,83,crosscount,fallito,7,0,7,0,23.8,0.0,0.0,0.0
3b,84,checkFormulas,fallito,7,3,4,0,77.8,75.0,8.7,0.0
3b,85,bound_line_in_box,fallito,7,0,7,0,82.4,64.3,0.0,0.0
3b,86,change_display,fallito,8,3,5,0,66.7,54.5,0.0,0.0
3b,87,oligo_complements,fallito,7,0,7,0,100.0,93.8,5.9,0.0
3b,88,get_text_point_at_line,fallito,8,0,8,0,62.9,35.7,0.0,0.0
3b,89,bin_search_range,fallito,8,1,7,0,89.3,75.0,67.2,0.0
3b,90,descartes,fallito,7,0,7,0,100.0,100.0,0.0,0.0
3b,91,row_revile_indexes,fallito,7,5,2,0,66.7,58.3,0.0,0.0
3b,92,usage_bound,fallito,7,0,7,0,85.7,80.0,0.0,0.0
3b,93,define_neighbours,fallito,7,0,7,0,81.0,77.8,0.0,0.0
3b,94,_get_barchart_sizings,fallito,8,0,8,0,90.9,81.2,5.3,0.0
3b,95,flag_meaning,passato,7,7,0,0,61.8,59.6,0.0,0.0
3b,96,coord_finder,fallito,7,0,7,0,90.5,76.5,0.0,0.0
3b,97,__transform_coors,fallito,7,0,7,0,32.0,25.0,0.0,0.0
3b,98,lumen_type,fallito,7,4,3,0,46.7,42.3,0.0,0.0
3b,99,judge_1d100_with_7_ver,fallito,7,0,7,0,36.8,25.0,0.0,0.0
