modello,indice,func_name,stato,finish_reason,secondi,sintassi_valida,n_test,import_ok,numero_ok,nomi_ok,assert_ok,oracolo_ok,formato_ok
1b,0,is_degree_in_degree_range,scritto,stop,17.0,True,7,False,True,True,True,True,False
1b,1,BinaryFromFraction,scritto,stop,17.4,True,7,True,True,True,True,True,True
1b,2,fix_labels,scritto,stop,16.2,True,7,False,True,True,True,True,False
1b,3,x0x1_after_extraction,scritto,stop,15.7,True,7,False,True,True,False,True,False
1b,4,_remove_strings,scritto,stop,12.1,True,8,False,True,True,True,True,False
1b,5,can_blas,scritto,stop,18.2,True,8,False,True,True,True,True,False
1b,6,deg2HMS,scritto,stop,14.4,True,6,True,True,True,True,True,True
1b,7,single_defcom_extract,scritto,stop,16.4,True,8,False,True,True,True,True,False
1b,8,get_allen_relation,scritto,stop,14.6,True,8,False,True,True,True,True,False
1b,9,point_box_relation,scritto,stop,14.6,True,7,False,True,True,True,True,False
1b,10,uoc_railfence_encrypt,scritto,stop,32.8,True,11,False,False,False,True,True,False
1b,11,create_three_random_v_indices,scritto,stop,15.6,True,7,True,True,True,True,True,True
1b,12,diffsents,scritto,stop,14.1,True,6,False,True,True,True,True,False
1b,13,replacement_template,scritto,stop,17.4,True,8,False,True,True,True,True,False
1b,14,needleman_wunsch0,scritto,stop,26.3,True,5,False,True,True,True,True,False
1b,15,knapsack_indv,scritto,stop,19.8,True,4,False,True,True,True,True,False
1b,16,next_holiday,scritto,stop,19.8,True,1,False,False,True,True,True,False
1b,17,calc_query_pos_from_cigar,scritto,stop,20.0,True,8,False,True,True,True,True,False
1b,18,get_processor_types_from_config_class,scritto,stop,27.3,True,9,True,False,False,True,True,False
1b,19,maximal_matching_pairs,scritto,stop,18.8,True,8,False,True,True,True,True,False
1b,20,lflverify,scritto,stop,14.4,True,7,True,True,True,True,True,True
1b,21,longestNonWildcardSubsequence,scritto,stop,24.8,True,9,False,False,True,False,True,False
1b,22,windows_k_distinct,scritto,stop,21.3,True,8,False,True,True,True,True,False
1b,23,string_contrast,scritto,stop,16.9,True,7,False,True,True,False,True,False
1b,24,max_rewards,scritto,stop,32.6,True,8,False,True,True,True,True,False
1b,25,circle_line_segment_intersection,scritto,stop,25.2,True,8,True,True,True,True,True,True
1b,26,initiate_board,scritto,stop,14.2,False,,,,,,,
1b,27,move_gain,scritto,stop,13.8,True,7,False,True,True,True,True,False
1b,28,time_in_swiss_german,scritto,stop,18.0,True,8,False,True,True,True,True,False
1b,29,columnTransCipher,scritto,stop,21.2,True,8,True,True,True,True,True,True
1b,30,compute_convolution_output_dimensions,scritto,stop,23.3,True,8,True,True,True,True,True,True
1b,31,get_trackletpair_t_range,scritto,stop,34.9,True,8,False,True,True,True,True,False
1b,32,get_bw_weight,scritto,stop,29.2,True,0,False,False,False,False,False,False
1b,33,coordinate_sorter,scritto,stop,17.6,True,7,False,True,True,True,True,False
1b,34,get_past_goal_indices,scritto,stop,16.8,True,8,True,True,True,False,True,False
1b,35,_normalized_vcf,scritto,stop,17.4,True,8,False,True,True,False,True,False
1b,36,categorizeSentimentcomplex,scritto,stop,34.9,True,8,True,True,True,True,True,True
1b,37,uniformate2,scritto,stop,33.8,True,8,True,True,True,True,True,True
1b,38,wordparamcheck,scritto,stop,41.4,True,8,False,True,True,True,True,False
1b,39,splitIA2Attribs,scritto,stop,29.1,True,8,False,True,True,True,True,False
1b,40,decode_address_entry,scritto,stop,20.0,True,8,False,True,True,True,True,False
1b,41,make_similar,scritto,stop,17.0,True,8,False,True,True,True,True,False
1b,42,generateResultTree,scritto,stop,20.8,True,8,False,True,True,True,True,False
